epoch,train_loss,validation_loss,train_coordinate,validation_coordinate,train_dimension,validation_dimension,train_object_confidence,validation_object_confidence,train_noobject_confidence,validation_noobject_confidence,train_class_confidence,validation_class_confidence
1,4.408877058201526,2.687384843826294,6.034370807280023,3.3626529574394226,3.0513379731810235,1.0340028469051634,13.352048127047986,11.043948718479701,5.332017557089587,3.80210185334796,8.998980303844773,7.638914068539937
2,2.4832640433885964,2.212202889578683,2.92359031323927,2.4871657377197627,0.9047971009669533,0.6203012310323262,10.742813469415688,10.50692205202012,5.426199980528958,3.8922542447135564,7.078098462288638,7.012921094894409
3,2.158808734043535,2.139385680357615,2.363662652940635,2.4543078343073526,0.6075601851545185,0.5194131235281626,10.31036022772272,10.092553184145974,5.247170672359236,4.301300077211289,6.69610214807901,6.732542333148775
4,2.070316284535879,2.0514800605319796,2.258638677108719,2.3238005467823575,0.5714779762798045,0.4941706834804444,9.919696221868676,9.770458130609422,5.405318487121399,4.256160157067435,6.299403727772725,6.4753726323445635
5,1.9538179004048726,1.9647084928694225,2.1226435720202432,2.2051564086051214,0.5191610137741249,0.47388240765957607,9.099339706351959,9.003724330947513,5.735465168952942,4.80608700570606,6.034042892685855,6.324065742038545
6,1.8204329171812679,1.8747275982584273,1.9513001183429397,2.1267397432100204,0.4851122401564954,0.42278482694001424,8.269097672887595,8.273733933766684,5.921835879245436,5.437949430374872,5.67184449247567,5.911870036806379
7,1.682042557791055,1.801979354449681,1.7749309801911732,2.0451456876028153,0.429644198033465,0.3743683731272107,7.622438189495041,7.980997812180292,6.0147489381123735,5.217339600835528,5.213936112013208,5.829065907569158
8,1.5287371112639645,1.6614560853867304,1.548291125570435,1.881994475920995,0.3954460501042475,0.3929449635602179,7.043157772845532,7.129728828157697,5.942578347332506,5.730705879983448,4.6905013746525865,4.944336726551964
9,1.415155960134713,1.7035785203888303,1.4408048703727951,2.0446620015870955,0.3883570749537054,0.3796993667880694,6.607576269701303,6.927056085495722,5.884087584104883,5.883304215612865,3.904472687876368,5.002550119445438
10,1.3125253922968025,1.575617716425941,1.3030869346785259,1.8505309976282573,0.36894110617149306,0.37141274625346776,6.198936564376555,6.639779823166983,5.896292900464621,5.763291756312053,3.461391492780433,4.281430187679472
11,1.2018870610788643,1.6116872912361508,1.2146200243248997,1.9221772097405934,0.34800319346677827,0.36740064585492727,5.699282156415732,6.7402059237162275,5.718290837414293,5.865348997570219,2.829772217446063,4.410748862084889
12,1.126955001110054,1.6347294307890392,1.1400977470070484,1.952006696235566,0.32827598134796304,0.4015429534372829,5.275045923439853,7.2477452754974365,5.852578999048256,5.448958504767645,2.4602151577731215,4.186990110647111
13,1.0298481949840683,1.5493663038526262,1.0406131417636413,1.9168591101964314,0.30866501399551527,0.3591040124495824,4.957652502749339,6.6163502761295865,5.5290021896362305,5.160892634164719,1.975394922387169,3.9678985135895863
14,0.9703726316072855,1.5960365874426705,0.9825634588319135,1.928047002781005,0.3178873826042715,0.3683935141279584,4.649860051741083,6.902071600868588,5.224635863878641,5.153811443419683,1.7416202503155513,4.232561768520446
15,0.9090563888291279,1.5463923102333432,0.8980110280485039,1.8627704580624898,0.29769721097615826,0.37331103817338035,4.521197225674089,6.262696175348191,5.145298781165158,5.974281424567813,1.4506436981350543,4.048944620859055
16,0.8595020153436316,1.5784181498345875,0.8668121790670487,1.9028345559324538,0.2849944801215666,0.35886703041337786,4.184164830719132,7.166453895114717,4.854348353592746,4.786221759659903,1.3538251824407692,4.135693998563857
17,0.8135916477585413,1.562029983316149,0.8167481255459498,1.8924993886834098,0.281855055411537,0.3456544776757558,3.9218377399157327,6.469517185574486,4.795071403664279,5.601021982374645,1.1843916391841618,4.209090914045062
18,0.7476458901382355,1.583274523417155,0.7610416552388525,1.9481885319664365,0.2792186810219862,0.35377142684800283,3.561117895037295,6.48718466929027,4.398762521973575,5.6226545969645185,0.9865742394004959,4.240726899533045
19,0.7407492659537189,1.5859374063355582,0.7572275489927774,1.933846774555388,0.2902761771377311,0.3447225374125299,3.3936117711555527,6.891333886555263,4.4641415620424665,4.882748561246054,0.9739838709763016,4.3594789164406915
20,0.5872431903718466,1.518333619549161,0.6079578835921116,1.8326685769217355,0.23379971154303436,0.3412543780037335,2.778362119772348,6.8291742744899935,3.5001401527818428,4.840733837513697,0.6460261431533888,3.9332016706466675
21,0.5088674067014671,1.5313372555233182,0.5209158685911133,1.8093071253526778,0.20378708794533487,0.32539534391391844,2.413802415850651,7.067993811198643,3.154548999774887,4.766106770152137,0.5129871763490949,4.100464599473136
22,0.46404735187450086,1.5487998723983765,0.4957833046834153,1.8496190564973014,0.18620039280279574,0.3229397925592604,2.1874123373663568,7.359264725730533,2.869065034820373,4.452611872128078,0.3815316429967622,4.078998914786747
23,0.4278190642236227,1.5203950859251476,0.4547183142907648,1.8157302197955905,0.18886582907962512,0.315397519440878,1.9437278112374157,6.915083345912752,2.6501220288765,4.809949784051804,0.34299370055143014,4.086286913780939
24,0.41495501698858767,1.5343543660073053,0.46182376307895384,1.8424437131200517,0.18320764924388333,0.32751609739803134,1.8212903883442821,7.051169980139959,2.4509442796908227,4.860362399192083,0.3549998561088669,3.965670313153948
25,0.3559240506715085,1.5195521939368475,0.41503342241048813,1.807954470316569,0.1650115579635982,0.31728237335171017,1.4766361485403705,7.261589407920837,2.0349290040602166,4.533814430236816,0.2941141880330551,3.9007256513550166
